datum;pegel;wasserstand
2020-03-02 15:23:21;Ahlden;368
2020-03-02 15:23:21;Rethem;389
2020-03-02 15:23:21;Eitze;532
2020-03-02 16:23:33;Grafhorst;94 
2020-03-02 16:23:33;Brenneckenbrück;258
2020-03-02 16:23:33;Langlingen;394
2020-03-02 16:23:33;Celle;329
2020-03-02 16:23:33;Marklendorf;276
2020-03-02 16:23:33;Ahlden;368
2020-03-02 16:23:33;Rethem;389
2020-03-02 16:23:33;Eitze;531
2020-03-02 17:23:48;Grafhorst;94 
2020-03-02 17:23:48;Brenneckenbrück;257
2020-03-02 17:23:48;Langlingen;394
2020-03-02 17:23:48;Celle;329
2020-03-02 17:23:48;Marklendorf;276
2020-03-02 17:23:48;Ahlden;368
2020-03-02 17:23:48;Rethem;389
2020-03-02 17:23:48;Eitze;531
2020-03-02 18:23:55;Grafhorst;94 
2020-03-02 18:23:55;Brenneckenbrück;257
2020-03-02 18:23:55;Langlingen;394
2020-03-02 18:23:55;Celle;328
2020-03-02 18:23:55;Marklendorf;275
2020-03-02 18:23:55;Ahlden;368
2020-03-02 18:23:55;Rethem;389
2020-03-02 18:23:55;Eitze;531
2020-03-02 19:24:05;Grafhorst;94 
2020-03-02 19:24:05;Brenneckenbrück;257
2020-03-02 19:24:05;Langlingen;393
2020-03-02 19:24:05;Celle;328
2020-03-02 19:24:05;Marklendorf;274
2020-03-02 19:24:05;Ahlden;368
2020-03-02 19:24:05;Rethem;389
2020-03-02 19:24:05;Eitze;531
2020-03-02 20:24:16;Grafhorst;94 
2020-03-02 20:24:16;Brenneckenbrück;256
2020-03-02 20:24:16;Langlingen;393
2020-03-02 20:24:16;Celle;328
2020-03-02 20:24:16;Marklendorf;274
2020-03-02 20:24:16;Ahlden;368
2020-03-02 20:24:16;Rethem;389
2020-03-02 20:24:16;Eitze;530
2020-03-02 21:24:24;Grafhorst;94 
2020-03-02 21:24:24;Brenneckenbrück;256
2020-03-02 21:24:24;Langlingen;393
2020-03-02 21:24:24;Celle;328
2020-03-02 21:24:24;Marklendorf;274
2020-03-02 21:24:24;Ahlden;367
2020-03-02 21:24:24;Rethem;Kei
2020-03-02 21:24:24;Eitze;530
2020-03-02 22:24:35;Grafhorst;94 
2020-03-02 22:24:35;Brenneckenbrück;255
2020-03-02 22:24:35;Langlingen;392
2020-03-02 22:24:35;Celle;328
2020-03-02 22:24:35;Marklendorf;274
2020-03-02 22:24:35;Ahlden;367
2020-03-02 22:24:35;Rethem;Kei
2020-03-02 22:24:35;Eitze;530
2020-03-02 23:24:43;Grafhorst;94 
2020-03-02 23:24:43;Brenneckenbrück;255
2020-03-02 23:24:43;Langlingen;392
2020-03-02 23:24:43;Celle;328
2020-03-02 23:24:43;Marklendorf;273
2020-03-02 23:24:43;Ahlden;367
2020-03-02 23:24:43;Rethem;Kei
2020-03-02 23:24:43;Eitze;530
2020-03-03 00:24:52;Grafhorst;93 
2020-03-03 00:24:52;Brenneckenbrück;255
2020-03-03 00:24:52;Langlingen;392
2020-03-03 00:24:52;Celle;328
2020-03-03 00:24:52;Marklendorf;273
2020-03-03 00:24:52;Ahlden;367
2020-03-03 00:24:52;Rethem;Kei
2020-03-03 00:24:52;Eitze;530
2020-03-03 01:25:00;Grafhorst;93 
2020-03-03 01:25:00;Brenneckenbrück;254
2020-03-03 01:25:00;Langlingen;393
2020-03-03 01:25:00;Celle;327
2020-03-03 01:25:00;Marklendorf;272
2020-03-03 01:25:00;Ahlden;367
2020-03-03 01:25:00;Rethem;Kei
2020-03-03 01:25:00;Eitze;529
2020-03-03 02:25:05;Grafhorst;93 
2020-03-03 02:25:05;Brenneckenbrück;253
2020-03-03 02:25:05;Langlingen;393
2020-03-03 02:25:05;Celle;327
2020-03-03 02:25:05;Marklendorf;272
2020-03-03 02:25:05;Ahlden;367
2020-03-03 02:25:05;Rethem;Kei
2020-03-03 02:25:05;Eitze;529
2020-03-03 03:25:13;Grafhorst;92 
2020-03-03 03:25:13;Brenneckenbrück;253
2020-03-03 03:25:13;Langlingen;393
2020-03-03 03:25:13;Celle;327
2020-03-03 03:25:13;Marklendorf;272
2020-03-03 03:25:13;Ahlden;366
2020-03-03 03:25:13;Rethem;387
2020-03-03 03:25:13;Eitze;529
2020-03-03 04:25:19;Grafhorst;92 
2020-03-03 04:25:19;Brenneckenbrück;252
2020-03-03 04:25:19;Langlingen;393
