['60 ', '146', '357', '171', '130', '119', '154', '308']
['60 ', '146', '357', '171', '131', '119', '154', '306']
['60 ', '146', '357', '171', '132', '119', '153', '308']
['60 ', '146', '357', '171', '134', '118', '153', '307']
['60 ', '146', '357', '171', '134', '118', '153', '307']
['60 ', '145', '356', '171', '133', '118', '152', '307']
['60 ', '145', '356', '170', '133', '118', '152', '307']
['60 ', '145', '355', '170', '132', '118', '152', '306']
['60 ', '145', '355', '170', '133', '118', '152', '306']
['60 ', '145', '354', '170', '134', '118', '152', '306']
['60 ', '146', '354', '170', '132', '117', '152', '306']
['60 ', '146', '354', '170', '132', '117', '152', '306']['59 ', '139', '355', '163', '131', '107', '140', '297']
['59 ', '139', '355', '163', '132', '107', '140', '297']
['59 ', '139', '355', '163', '133', '107', '140', '296']
['59 ', '139', '355', '163', '132', '107', '139', '296']
['59 ', '139', '355', '162', '131', '107', '139', '296']
['59 ', '139', '355', '162', '132', '107', '139', '295']
['59 ', '139', '356', '162', '132', '107', '139', '295']
['59 ', '138', '355', '162', '133', '107', '139', '295']
['59 ', '138', '355', '162', '133', '107', '139', '294']
['59 ', '138', '355', '162', '133', '107', '139', '294']
['59 ', '138', '354', '162', '133', '107', '139', '294']
['59 ', '138', '354', '162', '131', '107', '139', '294']
['59 ', '138', '354', '162', '132', '107', '139', '294']
['59 ', '139', '354', '162', '132', '107', '139', '294']
['58 ', '139', '355', '162', '132', '107', '139', '294']
['58 ', '139', '355', '162', '132', '106', '138', '294']
['58 ', '139', '355', '162', '132', '106', '138', '294']
['58 ', '139', '353', '162', '132', '106', '138', '294']
['59 ', '139', '353', '162', '132', '106', '138', '294']
['58 ', '139', '355', '162', '132', '106', '138', '294']
['59 ', '138', '355', '161', '132', '106', '138', '293']
['59 ', '138', '355', '161', '132', '106', '138', '293']
['59 ', '138', '353', '161', '132', '106', '138', '294']
['59 ', '138', '354', '161', '132', '106', '138', '293']
['59 ', '138', '353', '161', '132', '106', '138', '293']
['59 ', '138', '355', '161', '132', '105', '138', '293']
['59 ', '138', '355', '161', '132', '105', '138', '293']
['59 ', '138', '355', '161', '132', '105', '138', '293']
['59 ', '137', '355', '161', '132', '105', '137', '293']
['59 ', '138', '355', '161', '132', '105', '138', '293']
['59 ', '137', '354', '161', '131', '104', '137', '293']
['59 ', '137', '355', '161', '131', '104', '137', '293']
['59 ', '137', '356', '161', '131', '104', '137', '293']
['59 ', '137', '356', '161', '131', '104', '137', '293']
['59 ', '137', '357', '159', '132', '104', '137', '293']
['59 ', '138', '358', '159', '132', '104', '137', '293']
['59 ', '138', '358', '159', '132', '104', '137', '293']
['59 ', '139', '357', '159', '133', '104', '137', '293']
['59 ', '140', '357', '160', '133', '104', '137', '293']
['59 ', '141', '357', '161', '132', '104', '137', '294']
['59 ', '142', '357', '162', '132', '104', '137', '294']
['59 ', '142', '357', '163', '130', '103', '137', '294']
['59 ', '142', '358', '163', '131', '104', '137', '294']
['60 ', '142', '358', '163', '133', '104', '137', '293']
['60 ', '142', '358', '163', '132', '104', '137', '293']
['60 ', '142', '358', '163', '132', '104', '136', '293']
['60 ', '142', '358', '164', '134', '104', '136', '293']
['60 ', '143', '358', '164', '133', '104', '136', '292']
['60 ', '144', '358', '166', '133', '104', '136', '292']
['60 ', '145', '358', '166', '133', '104', '136', '292']
['60 ', '145', '358', '165', '135', '104', '136', '292']
['60 ', '145', '358', '165', '136', '104', '136', '292']
['60 ', '145', '358', '165', '137', '104', '136', '292']
['60 ', '144', '358', '165', '137', '104', '136', '292']
['60 ', '145', '358', '165', '137', '105', '136', '291']
['60 ', '144', '358', '164', '138', '105', '136', '292']
['60 ', '144', '358', '164', '138', '105', '136', '292']
['60 ', '144', '358', '165', '138', '106', '136', '292']
['60 ', '144', '358', '165', '139', '105', '136', '292']
['60 ', '145', '359', '165', '140', '106', '136', '292']
['59 ', '145', '359', '165', '140', '106', '136', '292']
['59 ', '144', '359', '164', '140', '106', '137', '292']
['59 ', '145', '360', '164', '139', '107', '137', '292']
['59 ', '144', '358', '165', '138', '108', '137', '292']
['59 ', '146', '358', '165', '137', '108', '137', '292']
['59 ', '145', '359', '166', '136', '109', '138', '292']
['59 ', '144', '358', '166', '136', '110', '138', '292']
['59 ', '144', '358', '168', '136', '109', '139', '292']
['59 ', '143', '359', '168', '136', '110', '139', '293']
['59 ', '144', '359', '168', '136', '110', '140', '293']
['59 ', '144', '359', '168', '137', '110', '140', '293']
['59 ', '144', '359', '167', '138', '110', '140', '293']
['59 ', '144', '358', '167', '137', '111', '141', '293']
['59 ', '145', '358', '167', '137', '110', '141', '293']
['59 ', '145', '358', '167', '136', '110', '141', '293']
['59 ', '144', '359', '167', '136', '110', '141', '294']
['59 ', '144', '358', '167', '136', '111', '141', '294']
['59 ', '144', '359', '167', '137', '111', '141', '294']
['59 ', '144', '359', '167', '137', '111', '141', '295']
['59 ', '143', '359', '167', '137', '111', '142', '295']
['59 ', '142', '359', '166', '137', '111', '142', '295']
['59 ', '142', '358', '167', '137', '111', '142', '295']
['59 ', '143', '360', '166', '137', '111', '142', '295']
['59 ', '144', '358', '166', '137', '112', '142', '295']
['59 ', '144', '359', '166', '136', '112', '142', '295']
['59 ', '143', '360', '167', '136', '112', '142', '295']
